,ppCode,Carpark Name,Total Lots,Lot Type,Parking System,WeekDay Rates,WeekDay Minimum,Saturday Rates,Saturday Minimum,Sunday & PH Rates,Sunday & PH Minimum,Start Time,End Time
34,A0024,ADAM ROAD FOOD CENTRE OFF STREET,14,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
35,A0024,ADAM ROAD FOOD CENTRE OFF STREET,14,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
36,A0025,ADAM ROAD / DUNEARN CLOSE OFF STREET,12,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
37,A0025,ADAM ROAD / DUNEARN CLOSE OFF STREET,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
38,A0028,ALJUNIED ROAD (MINOR) ,19,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
39,A0034,ANAMALAI AVENUE ,12,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
40,A0035,ANTHONY ROAD OFF STREET,52,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,11:00
41,A0035,ANTHONY ROAD OFF STREET,52,Car,Electronic,$0.75,30 mins,$0.60,30 mins,$0.60,30 mins,11:00,17:00
42,A0035,ANTHONY ROAD OFF STREET,52,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:30
43,A0035,ANTHONY ROAD OFF STREET,52,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
44,A0035,ANTHONY ROAD OFF STREET,52,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
45,A0036,ANG MO KIO STREET 62 ,15,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
46,A0036,ANG MO KIO STREET 62 ,15,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
47,A0036,ANG MO KIO STREET 62 ,15,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
48,A0037,ANG MO KIO STREET 64 ,11,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
49,A0037,ANG MO KIO STREET 64 ,11,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
50,A0037,ANG MO KIO STREET 64 ,11,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
51,A0043,AYER RAJAH CRESCENT ,21,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,19:00
52,A0046,ALJUNIED ROAD OFF STREET,13,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
53,A0046,ALJUNIED ROAD OFF STREET,13,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
54,A0046,ALJUNIED ROAD OFF STREET,13,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
55,A0048,ANG MO KIO STREET 63 ,45,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
56,A0048,ANG MO KIO STREET 63 ,45,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
57,A0048,ANG MO KIO STREET 63 ,45,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
58,A0052,ANCHORVALE CRESCENT HEAVY VEHICLE PARK,298,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
59,A0054,ANCHORVALE STREET ,66,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
60,A0054,ANCHORVALE STREET ,66,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
61,A0054,ANCHORVALE STREET ,66,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
62,A0057,AROOZOO AVENUE ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
63,A0057,AROOZOO AVENUE ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
64,A0057,AROOZOO AVENUE ,9,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
65,B0001,BUKIT TIMAH ROAD ,11,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
66,B0001,BUKIT TIMAH ROAD ,5,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
67,B0002,BAGHDAD STREET ,20,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
68,B0004,BULIM AVENUE HVP ,439,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
69,B0005,BANDA STREET / SAGO LANE OFF STREET,38,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
70,B0005,BANDA STREET / SAGO LANE OFF STREET,38,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
71,B0005,BANDA STREET / SAGO LANE OFF STREET,4,Heavy Vehicle,Coupon,$2.40,30 mins,$2.40,30 mins,$1.20,30 mins,08:30,17:00
72,B0005,BANDA STREET / SAGO LANE OFF STREET,4,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,17:00,22:00
73,B0005,BANDA STREET / SAGO LANE OFF STREET,5,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
74,B0008,BEATTY ROAD ,32,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
75,B0011,BIRCH ROAD ,14,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
76,B0011,BIRCH ROAD ,1,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,08:30,22:00
77,B0018,BUKIT PASOH ROAD ,40,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
78,B0018,BUKIT PASOH ROAD ,40,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
79,B0020,BUSSORAH STREET ,13,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
80,B0022,BEATTY LANE ,15,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
81,B0023,BENG WAN ROAD OFF STREET,41,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,07:00,22:30
82,B0023,BENG WAN ROAD OFF STREET,41,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,22:30,07:00
83,B0023,BENG WAN ROAD OFF STREET,41,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
84,B0025,BALI LANE ,6,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
85,B0028,BALESTIER ROAD ,5,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
86,B0029,BHAMO ROAD ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
87,B0031,BEATTY ROAD OFF STREET,17,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
88,B0031,BEATTY ROAD OFF STREET,17,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
89,B0031,BEATTY ROAD OFF STREET,17,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
90,B0031,BEATTY ROAD OFF STREET,4,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
91,B0031,BEATTY ROAD OFF STREET,4,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
92,B0032,BUKIT TIMAH MARKET OFF STREET,117,Car,Electronic,$0.70,30 mins,$0.70,30 mins,$0.70,30 mins,11:00,14:00
93,B0032,BUKIT TIMAH MARKET OFF STREET,117,Car,Electronic,$0.60,30 mins,$0.70,30 mins,$0.70,30 mins,07:00,11:00
94,B0032,BUKIT TIMAH MARKET OFF STREET,117,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,14:00,22:30
95,B0032,BUKIT TIMAH MARKET OFF STREET,117,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
96,B0032,BUKIT TIMAH MARKET OFF STREET,117,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
97,B0032,BUKIT TIMAH MARKET OFF STREET,29,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
98,B0032,BUKIT TIMAH MARKET OFF STREET,29,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
99,B0033,BOON TECK ROAD ,6,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
100,B0035,BELILIOS LANE OFF STREET,33,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
101,B0042,BENOI SECTOR ,14,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
102,B0045,BLAIR ROAD ,43,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,07:00,17:00
103,B0045,BLAIR ROAD ,43,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
104,B0052,BANDA STREET ,11,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
105,B0052,BANDA STREET ,11,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
106,B0062,BUFFALO ROAD SERVICE ROAD,18,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
107,B0063,BUKIT BATOK NATURE PARK OFF STREET,106,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
108,B0063,BUKIT BATOK NATURE PARK OFF STREET,106,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
109,B0063,BUKIT BATOK NATURE PARK OFF STREET,106,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
110,B0063,BUKIT BATOK NATURE PARK OFF STREET,6,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
111,B0063,BUKIT BATOK NATURE PARK OFF STREET,6,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
112,B0067,BURN ROAD ,15,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
113,B0069,BEDOK SOUTH ROAD ,8,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
114,B0073,BOON TAT STREET ,19,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
115,B0073,BOON TAT STREET ,19,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
116,B0073,BOON TAT STREET ,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
117,B0081,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,30,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
118,B0081,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,30,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
119,B0081,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,30,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
120,B0081,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,531,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
121,B0082,BRADDELL ROAD HEAVY VEHICLE PARK,82,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$0.00,0 mins,07:00,19:00
122,B0084,BEACH ROAD ,15,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,08:30,22:00
123,B0086,BUKIT BATOK EAST AVENUE 2 HV PARK,212,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
124,B0087,BAGHDAD STREET OFF STREET,25,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,11:00
125,B0087,BAGHDAD STREET OFF STREET,25,Car,Electronic,$0.75,30 mins,$0.75,30 mins,$0.75,30 mins,11:00,17:00
126,B0087,BAGHDAD STREET OFF STREET,25,Car,Electronic,$0.60,30 mins,$0.75,30 mins,$0.75,30 mins,17:00,22:30
127,B0087,BAGHDAD STREET OFF STREET,25,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
128,B0087,BAGHDAD STREET OFF STREET,25,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
129,B0087,BAGHDAD STREET OFF STREET,8,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
130,B0087,BAGHDAD STREET OFF STREET,8,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
131,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,105,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
132,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,105,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
133,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,105,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
134,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,16,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
135,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,16,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
136,B0090,BENOI ROAD ,48,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,17:00
137,B0092,BABOO LANE ,6,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
138,B0094,BERNAM STREET ,9,Car,Coupon,$1.20,30 mins,$1.20,30 mins,$0.60,30 mins,08:30,17:00
139,B0094,BERNAM STREET ,9,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,17:00,22:00
140,B0096,BUKIT TIMAH LINK OFF STREET,29,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
141,B0096,BUKIT TIMAH LINK OFF STREET,29,Car,Electronic,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
142,B0096,BUKIT TIMAH LINK OFF STREET,29,Car,Electronic,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
143,B0096,BUKIT TIMAH LINK OFF STREET,8,Motorcycle,Electronic,$0.65,930 mins,$0.65,930 mins,$0.65,930 mins,07:00,22:30
144,B0096,BUKIT TIMAH LINK OFF STREET,8,Motorcycle,Electronic,$0.65,510 mins,$0.65,510 mins,$0.65,510 mins,22:30,07:00
145,B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,19,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,07:00,22:30
146,B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,19,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.60,30 mins,22:30,07:00
147,B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,19,Car,Coupon,$5.00,510 mins,$5.00,510 mins,$5.00,510 mins,22:30,07:00
148,B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,128,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
149,B0100,BRIGHTON CRESCENT ,11,Car,Coupon,$0.60,30 mins,$0.60,30 mins,$0.00,0 mins,08:30,22:00
150,B0100,BRIGHTON CRESCENT ,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
151,B0101,BOON LAY WAY HVP   ,341,Heavy Vehicle,Coupon,$1.20,30 mins,$1.20,30 mins,$1.20,30 mins,07:00,19:00
152,BL001,BACKLANE BET CECIL STREET/MARKET STREET,20,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
153,BL008,BACKLANE BET NORTH CANAL ROAD/CIRCULAR RD,26,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
154,BL009,BACKLANE BET HONGKONG ST/CARPENTER STREET,7,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
155,BL010,BACKLANE BET LORONG TELOK/CIRCULAR ROAD,20,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
156,BL011,BACKLANE OFF SYNAGOGUE STREET,43,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
157,BL014,BACKLANE BET BOON TAT STREET/AMOY STREET,16,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
158,BL015,BACKLANE OFF AMOY STREET,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
159,BL016,BACKLANE OFF GEMMILL LANE,6,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
160,BL019,BACKLANE BET UPPER CROSS ST/MOSQUE STREET,19,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
161,BL021,BACKLANE OFF COOK STREET,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
162,BL022,BACKLANE BET TRAS STREET/COOK STREET,18,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
163,BL023,BACKLANE BET PECK SEAH STREET/TRAS STREET,18,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
164,BL031,BACKLANE OFF BUKIT PASOH ROAD,12,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
165,BL032,BACKLANE OFF KEONG SAIK ROAD,7,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
166,BL033,BACKLANE OFF TECK LIM ROAD,12,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
167,BL034,BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,8,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
168,BL041,BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,9,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
169,BL046,BACKLANE BET SYNAGOGUE STREET/CHURCH STREET,9,Motorcycle,Coupon,$0.65,570 mins,$0.65,570 mins,$0.00,0 mins,08:30,17:00
170,BL053,BACKLANE BET BOON TAT STREET/MCCALLUM STREET,60,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
171,BL054,BACKLANE OFF BOON TAT STREET,24,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
172,BL055,BACKLANE OFF MCCALLUM STREET,3,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
173,BL060,BACKLANE OFF SMITH STREET,15,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
174,BL061,BACKLANE BET TEMPLE STREET/PAGODA STREET,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
175,BL062,BACKLANE BET TEMPLE STREET/SMITH STREET,13,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
176,BL067,BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,21,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
177,BL076,BACKLANE BET CRAIG ROAD/DUXTON ROAD,22,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
178,BL077,BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,7,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
179,BL092,BACKLANE OFF SEAH STREET,3,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
180,BL093,BACKLANE OFF PURVIS STREET,9,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
181,BL094,BACKLANE BET MIDDLE ROAD/LIANG SEAH STREET,16,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.65,870 mins,08:30,22:00
182,BL109,BACKLANE BET PERAK ROAD/MADRAS STREET,5,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
183,BL111,BACKLANE BET MAYO STREET/DUNLOP STREET,11,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
184,BL112,BACKLANE BET DICKSON ROAD/DUNLOP STREET,10,Motorcycle,Coupon,$0.65,870 mins,$0.65,870 mins,$0.00,0 mins,08:30,22:00
